author,text,likes,date,sentiment
@SuitableProfessor,Pay 30+ lakh of hard earned money for an unreliable piece of s@@t. Do read up teambhp the new safari was completely dismantled.,0,2024-03-05T10:33:48Z,Neutral
@cyrilmatthew2995,"Most reviewers failed to educate masses about drivetrain configuration or layout ....
Previous safari was a body on frame chasis vehicle with a longitudinally mounted engine ( rear wheel drive paltform ) with 4 wheel drive integration .... I am assuming the previous safari has low range gear ratios as well as locking differentials ...
But the new safari is a monocoque -  (car like) chassis with a frint wheel drive based layout where engine is mounted transversely or sideways with all wheel drive integration.... So it's basically an front wheel biased druve train whwre engine senrs mote power to front wheels .... Its nit a typical 4*4 odf road worthy ...
Plus i know harrier has an inferior torsion beam rear suspension thats a big - a huge let down..new safari too had the same i guess....",5,2024-03-04T17:20:33Z,Neutral
@shreyasbaviskar5935,tata should have a safari storme classic like mahindra scorpio classic,43,2024-03-04T16:36:49Z,Positive
@autocarindia1,Read the full review of the new Tata Safari here - https://www.autocarindia.com/car-reviews/tata-safari-facelift-review-flagship-suv-goes-more-upmarket-429549,10,2023-10-15T10:36:40Z,Positive
@capricioustraveller,"Safari fans, assemble! 🚙 After an epic 21,000 km journey with my beast, including an unforgettable 8,000 km North East road trip over 35 days, I can confirm: this SUV has a personality of its own. 😅 Loved Autocar India take — they’ve nailed the essence of the Safari! Sharing my detailed ownership journey and road trip adventures on my channel if you're curious about the long-term quirks and joys of Tata's flagship! 🙌",2,2025-01-21T21:24:43Z,Positive
@RrajendraYn,safari is a great suv.,0,2024-12-17T07:04:11Z,Positive
@MiniMind_Challenges,"Hi there we are planning to buy Tata Safari Accomplished Plus 6S(AT) in Jan or Feb as 2025 Model will be out, we now own Toyota Innova (2008) and i need some opinions because i saw of a lot of bad comments on the safari, so i def need some customer reviews of long term people who own them since an year or so small glitches doesn't bother me @autocarindia1",0,2024-12-08T14:48:47Z,Neutral
@ShivrohitVanagondi,"Hi there, I watched your videos on YouTube and think you might be able to help me with some questions. I’m considering the Safari, XUV700, and Scorpio N for my needs. I have a large family of seven, and I plan to travel across India—not to extreme locations like deserts, but to places like Ladakh, Spiti, and Manali where there might be snow and black ice.

I’m wondering if the Safari will be suitable for these conditions or if I should opt for the XUV700 with all-wheel drive or the Scorpio N with 4x4. I’m leaning towards the Safari due to its impressive road presence and comfort, but the XUV700 is appealing for its performance. However, I’m also concerned about the reliability of Tata cars. Do you think the Safari is reliable? If you were choosing a new car, would you go for the Safari or a Mahindra model?",1,2024-09-01T06:36:09Z,Positive
@Ironmishra123,"Tbh the og tata safari storme just cant be replaced 
Just saying the looks were just better than this one",0,2024-07-18T15:52:47Z,Positive
@vishalhunalli8525,We would love to see old safari storm and Hexa come back,0,2024-04-10T08:12:10Z,Positive
@DeepakKumar-vx3qu,steals my heart everytime i see it... love the new safari!,0,2024-02-26T07:42:21Z,Positive
@vrentertainment.3919,"Just bought safari last month it feels like I am driving 1cr car , the way people give reaction to my car in roads❤❤",1,2024-01-29T15:57:00Z,Neutral
@sauravkr,"Why does the Safari always makes more noise and vibrates while reversing, even on flat surface?",0,2023-12-09T11:09:01Z,Positive
@ConsultantDoc500,"With an extensive test drive just a few days back........I sincerely accept that the new Tata Safari definitely has improved a lot in the areas of noise, vibration and harshness moreover the overall refinement of smoothness off the engine at Decent speeds has been really appreciable and satisfactory",27,2023-10-24T19:16:56Z,Positive
@ConsultantDoc500,"Dear bro you rightly pointed out in this video review that the autonomous emergency braking is not working at all........While, all other  ADAS features are working up to the mark and as expected I to had an extensive test drive of the Tata Safari accomplished plus variant on Saturday that is 21st October and was really disappointed by only one feature not working that is autonomous emergency braking which I tried on the highway........even in the suburban areas and the SUV never stopped on its own......",1,2023-10-24T19:09:24Z,Neutral
@iaf010,"From the days of the Indica Tata has come a Looong way.

This Safari wouldn't be out of place.anywhere in the world.",0,2023-10-24T15:46:03Z,Neutral
@gtb3493,Congrats safari and harrier for 5 star ⭐⭐⭐⭐⭐ from GNCAP,0,2023-10-17T07:32:12Z,Neutral
@parashborthakur,"No RWD , no 4WD , doesn't like to be revved .... This can't be SUV .... I don't think it's doing justice to the Safari legacy..... Of course, look wise awesome",7,2023-10-17T01:44:16Z,Positive
@samarthmedical2738,Bhai safari pe Dil AA Gaya,0,2023-10-16T14:31:31Z,Neutral
@vipulvirus,"it is an oversized MUV. Does not even have 4x4

Safari badge is not suited for this.",2,2023-10-16T07:00:31Z,Neutral
@RahulKumar-wl5yx,"Alloy are very bad in Nexon , harrier, Safari",0,2023-10-16T03:12:40Z,Negative
@rajathrs7737,Safari the king ❤,1,2023-10-16T03:01:13Z,Neutral
@EscapeToVictoryNow,"Tata Safari pros and CONS: 
1. Absolutely brilliant build quality , second to none 
2. Brilliant ride , handling and comfort 

CONS: 
1. Disastrous Reliability 
2. Disastrous After Sales Service 
3. Disastrous Mileage 
4. Disastrous Paint Quality 
5. Exceptionally Highest Part replacement cost with service cost",1,2023-10-15T18:48:36Z,Neutral
@dheeraj8001,Hybrid version of safari will be a great move considering the current norms on the diesel engines.,7,2023-10-15T18:43:10Z,Positive
@rohitupadhyay319,Tata has done a great job of sending even more Safaris to Service Centre...,9,2023-10-15T17:53:55Z,Positive
@warrierstar1,Any plans for Safari to come with the hybrid model?,0,2023-10-15T17:26:20Z,Neutral
@suhail12543,I refuse to accept it as a true safari until its gets 4x4 until then its a Harrier with Back Hump😅,1,2023-10-15T17:24:41Z,Positive
@theunemployedmind,"Tata, the absence of physical buttons is a deal-breaker for me. While I was excited about considering the Harrier or a Safari, I prioritize safety and convenience. Despite Tata's excellent crash ratings, I have 15 years of driving experience in basic cars like the 800 and Alto, which lacked safety features. This has made me a cautious driver. For the past five years, I've enjoyed the security of advanced safety features, so fumbling with non-physical controls and diverting my attention from the road doesn't make sense. I'll have to pass on these vehicles.",9,2023-10-15T16:52:23Z,Positive
@kunwersingh560,It looks like Tata motors intentionally make safari more good looking than Harrier.,0,2023-10-15T16:51:01Z,Positive
@rishiktiwari,They first need to make the Safari boxy again! It looks like a toy.,0,2023-10-15T16:40:17Z,Positive
@prateektaunk7763,"After so many upgrades in safari series. It's surprisingly still not close perfect. 
White seat covers in a Sports Utility Vehicle is just senseless. Glossy touch panels hard to use are also unsafe and scratch prone. I also wouldn't like to scratch my phone on that wireless charger. Sunroof being India's big demand is just useless again. 
Paddle shifters also don't seem to work well. Will have to wait for another upgrade.",3,2023-10-15T16:27:41Z,Positive
@divyangdodia167,"Love or hate the usage of the badge Safari, but you can't ignore the sheer road presence and awesome look of this car",5,2023-10-15T16:07:14Z,Positive
@shivakumarparthasarathy4444,Is it a frame on ladder retaining safari dna! Is it high seating? Why can't tata offer flush centre dash display instead of a prime tive ugly display screen sticking out. Ugly steering. Can you down shift with paddle shifter with braking ?,1,2023-10-15T15:21:20Z,Negative
@saliloza5461,Still love the dicor variant of the Safari. That looked like a proper Indian suv.,0,2023-10-15T15:19:39Z,Positive
@albertsmannoor1530,i dont think safari can still match with 700  when it comes to ride and handlng.,2,2023-10-15T15:12:28Z,Neutral
@itznavroon,Always Safari❤,0,2024-12-03T02:35:25Z,Neutral
@shineace77,Wonderful Video with great perspective for someone trying to decided between Safari and Harrier,0,2024-03-17T15:25:10Z,Positive
@BunnyPuniaVideos,And here is the full Safari review off the road - https://www.youtube.com/watch?v=VYRE8eoLyJc,14,2021-02-01T03:31:06Z,Positive
@Thetruth015,Bhai mujhe samajh nhi aa rha hai ki mai Safari lu ki Herrier dono ki XT+ varients lunga aap log mujhe btao ki mai kaunsi car lu plz btao 🙏,1,2022-02-07T16:11:13Z,Neutral
@joybanerjee5168,Good information if you can stretch safari makes better with additional features stil missing some features 360 camera which is must for such a big vehicle,0,2022-02-03T20:02:07Z,Positive
@ShubhamSingh-hi5qy,Old tata safari had its own iconic look🔥 which is now gone.. Though the front design which is same as harrier is great but considering the history of safari and its features tata didn't gave safari its own characteristic look or even a modified version of old one which could bi so good if implemented . now its a like harrier pro or plus version model.. ( hyundai also did that in case of alcazar ),0,2022-02-01T16:28:53Z,Positive
@manmeetonline2002,"Harrier seats folded are not flat, whereas Safari seats when folded are absolutely flat.",0,2021-11-08T14:41:24Z,Neutral
@gamingstudio2257,In back and side profile harrier looks more aggressive than safari .... It looks very stunning 😍😍,6,2021-09-27T07:31:22Z,Positive
@BeastGaming-uh1pn,Harrier also get all wheel disc brakes now.,0,2021-09-13T04:00:22Z,Neutral
@rudharpartap17,Why Tata do not launched Safari in black colour it  would totally looks like a beast😈,0,2021-05-24T14:16:08Z,Neutral
@KashifKhan-jh8vd,Harrier win,0,2021-05-22T17:09:33Z,Positive
@tusharravrani5393,Ayus bhai safari lena,0,2021-04-19T04:54:00Z,Neutral
@nzpuffdevnaga1763,Tata Harrier looks too incomplete Infront of Tata Safari 😂,0,2021-03-23T08:21:37Z,Neutral
@Rudraksh_chhetri,"Like :- for Tata Safari 2021 
Comment :- for Tata harrier",1,2021-03-22T14:48:18Z,Neutral
@ThatGamerisPro,I love harrier,0,2021-03-21T06:36:01Z,Positive
@dba1996,"Safari all wheel disc brakes 
Harrier front disc rear drum",0,2021-03-06T14:58:05Z,Neutral
@mahlawat12,Old Safari was legend. Im sad. I don't like it. It was a trademark. Look at Mahindra.. they kept Scorpio same.,1,2021-03-06T12:27:52Z,Negative
@aaditgoyal2317,The leather color on the Harrier is better,0,2021-03-05T01:34:24Z,Positive
@sukhsarpanch7347,Best harrier or Safari 🙄 which one choose,1,2021-03-04T09:25:34Z,Positive
@yadhavkrishna5520,Do the harrier off roading video,0,2021-03-03T22:50:40Z,Neutral
@bikashkeisham7280,Safari has IRA but harrier don't.,0,2021-02-23T03:12:15Z,Neutral
@786katty,What the ground clearance of Tata Safari?,0,2021-02-13T03:42:45Z,Neutral
@Deepeshyadavjr,@bunnypunia kindly dont spread rumours. Even harrier have Auto dimming IRVM. kindly check your video at 5:00,1,2021-02-12T15:35:16Z,Positive
@raymondmarboh7699,wow looking beautyful nice new safari,1,2021-02-11T14:36:04Z,Positive
@manthanpatel6064,Tata safari is best...King is back,2,2021-02-10T16:38:16Z,Neutral
@tejasrana2201,"bro harrier now gets an auto dimming irvm in xza+, i have one myself lol",4,2021-02-10T03:37:00Z,Positive
@er.m.s8930,"Not happy with TATA MOTORS.
safari is just like newer model of harrier.
    They should have made much more differences between the two specially in the cosmetics.
Very dissapointed",0,2021-02-06T15:16:13Z,Positive
@akshayakapoor1402,"You should've compared the top model harrier with the safari. Harrier xz+ has auto dimming irvms, electronically adjustable seats and a panoramic sunroof. Get your facts right sir",1,2021-02-06T11:30:53Z,Positive
@khichi1985,U should have bought the bs6 Harrier.,0,2021-02-06T05:49:17Z,Neutral
@bhushanlangde1048,"Mothi sister ahe safari..
Bas itkach",1,2021-02-06T02:35:03Z,Neutral
@kdg81,When is petrol Harrier being launched?,1,2021-02-05T19:45:27Z,Neutral
@isaca7358,Net net- safari nor worth the extra money?,0,2021-02-05T14:18:41Z,Neutral
@guru-su3fk,Tata safari not so appealing.. Rather introduce another varient in harrier... Tata has taken wrong step,1,2021-02-05T11:35:46Z,Neutral
@291rajk,Harrier+seat in boot = safari 😎,2,2021-02-04T11:12:20Z,Neutral
@kiranravoori8363,I still go with Harrier..,2,2021-02-04T09:20:11Z,Neutral
@rochenruyi6547,Safari looks ungly,0,2021-02-03T14:13:14Z,Neutral
@rdarshan256,"tata nay desine me chutiya paa kar diya thoda ta or koi desine deyte safari he yaar.....  Tata done nothing-special for safari it can be desined in best segment for fight with other cars to grow in market... I love tata i support tata just giving my small correction on desine or new face lift 
This can be done for more great  looks for safari.... #saffari #madeinindia #safetycars 
#love Tata 
Tata loves the country by giving best product with quality and with great safty.",0,2021-02-03T09:28:44Z,Positive
@tarunswheels3705,0 -100 test between harrier n safari to know the pickup due to extra weight added,3,2021-02-03T05:28:13Z,Neutral
@Gladiatorking7,Harrier+ vs harrier,1,2021-02-03T03:39:33Z,Neutral
@jakselian,So the new safari is a 7 seater harrier?,4,2021-02-02T12:10:54Z,Positive
@shreekanths2090,Safari has different mkt segment compared to harrier . It is evident from you video as well,5,2021-02-02T08:17:50Z,Positive
@gajrajrathore4915,"HARRIER :- range rove eqoue
Safari :- land rover discovery",77,2021-02-02T05:57:55Z,Neutral
@bhushanramdham,That's just a Harrier 7 seater,6,2021-02-02T03:16:16Z,Neutral
@wasilshaikh909,i think tata has taken a wrong step by launching tata Safari almost identical to the harrier,27,2021-02-01T17:21:18Z,Negative
@rajputrana1,Best review of Tata Safari today. All other reviewers crying safari is just a harrier+ but this guy nails it like a pro.,55,2021-02-01T17:20:52Z,Positive
@pravinishi3716,Tata ne fail kardi Tata Safari Tata harrier ki copy,2,2021-02-01T16:35:18Z,Negative
@pritishchoudhury2995,"Two minor correction, auto dimming mirror is there is Harrier but it comes in XZ/XZA+ only not in lower variant (not even in XZ and XZA). Mood lighting is not present at all in Harrier.",3,2021-02-01T13:23:18Z,Neutral
@shauryaditya802,Wrong harrier have auto irvm,1,2021-02-01T08:59:11Z,Negative
@sy5918,Harrier looks more sportier 🔥🔥🔥,8,2021-02-01T06:03:04Z,Positive
@jagatbisht24,Harrier doesn't have mood lighting!,1,2021-02-01T04:45:46Z,Neutral
@two_wanderedsouls,Sir I have booked a harrier xz plus. Should I change to safari xz plus what is your opinion,4,2021-02-01T04:41:43Z,Neutral
@shaktinathjha4453,"Informative Video, The new Safari has now started appealing me more than the Harrier 😅",54,2021-02-01T03:59:27Z,Positive
@Wealth_Express,Top model harrier comes with a auto dimming rear view mirror.,33,2021-02-01T03:52:31Z,Positive
@ChiranjeevSaran,Safari's interior looks like it’s from a 40L car fr 👀,0,2025-08-06T11:40:50Z,Neutral
