index,message,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
33,"All RWD owners - Is the harrier providing same level of thrill and punch that QWD provide? Showroom guys are providing test drive on their QWD harrier. Just wanted to be sure except for offroading, the performance and acceleration is almost same for RWD as well!",0.09090909090909091,0.045454545454545456,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635
34,"Harrier.ev Stealth Edition, QWD 75",0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
35,did anyone used the inbuilt mapple app for navigation for long drive? Does it provide the available charging station based on Harrier current battery status?,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
36,Any Harrier ev owner facing any new issue or most of the issues are now resolved??,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"Is there any charge for taking Road side assistance service - for lifetime(15yrs) for Rs. 3000/-  after buying harrier EV. Free for breakdowns/towing & 35% off on parts ?

Got a call claiming from official TATA RSA.

Seems to be scam!

Any owner has received such calls ?

What’s included in RSA ?",0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0
38,What are some essential accessories to buy for Harrier?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,Is anyone charging their harrier only with 3.3 kwh portable charger and is able to manage everyday charging without hassle? Or 7.2 kwh charger is a must?,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0
40,Did anyone face lower back pain during long drive in harrier EV?,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
41,did anyone get the seat cover for Harrier EV in Hyderabad. It seems tata genuine accessories doesn’t have it yet and off market is also not available. Anyone has any leads?,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
42,Hii fellow community members... please guide me on harrier ev...I am thinking to book fearless 75..but hearing a lot of negative reviews..can you guys please guide...,0.15384615384615385,0.0,0.0,0.23076923076923078,0.0,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.0,0.0
43,Test drive vehicle harrier ev.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Is it possible to add under thigh support from aftermarket? Will this solve underthigh support issue in harrier ev ? Any leads please,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"I have completed 1000 kms in my Harrier EV Fearless + 75.
Till now, no problems faced🧿 🧿",0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
46,"Hi All, I am thinking to buy Harrier ev fearless plus. BUT
I am seeing many bad ownership experiences/reviews(issues on key, brake, Adas) about Harrier ev.
We are giving 25L-30L for this car but not getting confidence to invest on such not reliable product.(in general reliability of Tata cars)
Some people tells that they have not faced any issues with their Tata cars(lucky ones) but there are many other bad experiences with their purchases. (Its 50-50%)

Please help me with the decision to buy Harrier ev or not.

Thank you",0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.0,0.2916666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664
47,I’m looking forward to book harrier ev fearless plus 75kwh today. This is my first car and I am 1% confused and thinking about waiting to see more reviews. Can any owners share their experience yet. It would be much helpful. Thank you,0.1,0.0,0.1,0.2,0.0,0.4,0.0,0.0,0.0,0.2
48,Anyone facing headache while sitting in harrier ev as co passenger? I am receiving complaints from my family during a one hour test drive,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
49,Not very encouraging for somebody waiting for new harrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,How is the suspension of harrier ev in rough roads? Is it bouncy like Mahindra be6?,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
51,South Indian harrier will be glitch free.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Let all take harrier and finish 1st batch with problem,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
53,Lucky to busy 2nd batch harrier.,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
54,"Just a qq, any abnormal sound with the window glass one touch(driver side) and at the rear behind driver? I experienced a screeching  noise when I checked my vehicle during the initial checks. When asked, they said they got the same noise in the test drive vehicle too. Anyone else who has harrier ev experienced this issue. I have asked the showroom folks to get it cleared before the delivery",0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,0.36363636363636365,0.0,0.09090909090909091,0.0
55,"I got a call from tata motors today, informing that an update is avbl, so they have to keep my harrier ev with them for 4 hrs..
Is it ok?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Hi what is range for 65 kw harrier ev battery. Could not find any yt video on this,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
57,Unbelievable— is that harrier? Ac on?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
58,"Why did you book Harrier over XEV in that case? 
Curious to know 🧐",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
59,"Dear users, i have booked harrier ev fearless 75 version. I am concerned about Tata service and range in comparison with another choice of mahindra XEV 79 pack2. 
Any suggestions",0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,0.0
60,White colour harrier looks good too;,0.0,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222
61,Unfortunately my family doesn’t like blue colour that much ; instead of they were impressed by white colour and look of safari — which was ready for delivery 🤦,0.0,0.0,0.375,0.125,0.0,0.25,0.0,0.125,0.0,0.125
62,"Today I tried harrier.ev — breaking byte quite high and very sensitive— get jerk if press a bit too.

Also, acceleration in eco n sport does throws in higher speed— it increases gradually — might be good n safety — not tried boost mode — will tried later.",0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
63,small meme on Harrier Petrol 😂,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64,"Itna waiting karna hai Harrier EV ka…🙁 Ab to like tu aaye to kya, na aaye to kya 🙁",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,"Anybody booked Harrier S ACFC model , White Color at Pune ? 

I got a call yesterday that car is available. Someone cancelled his booking..",0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.2
66,"If I’m not mistaken, Harrier has liquid, isn’t it?",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
67,"Hi, today I test-drove the Tata Harrier EV at Venkataramana Motors Hyderabad. I am planning to book the Fearless 75 variant. Could you please tell me the real-world range before I confirm the booking?",0.2,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.0
68,"I need help with buying insurance. I have booked the **Tata Harrier EV Empowered 75 Stealth ACFC**.

The showroom from which I booked the car has given me the following insurance details:
 • **Basic Comprehensive (3+1)** = ₹1,02,500
 • **Insurance with Higher Add-ons** (Nil Depreciation + Consumables + RTI + RSA + Key Loss + Battery Protection + Tyre Protection) = ₹27,063

**Total Cost = ₹1,29,563**

Should I buy insurance from the showroom, or is it better to buy from outside? Also, what parameters should I check before finalizing the insurance?",0.2,0.2,0.0,0.0,0.1,0.1,0.3,0.1,0.0,0.0
69,"my take after test driving Harrier.ev, Clavis.ev and Creta.ev",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"If you talk about Harrier EV and Hyderabad, we all woulf like to know when did you get your delivery? 
Which dealership and what variant",0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
71,"Hi, did anyone installed seat cover for harrier EV. Any suggestion for a shop in Hyderabad.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,From last 2 days I am driving harrier ev..but not facing any problem yet..only one miner issue regarding fab key..it was not working..then dealer updated software and it is working absolutely fine... getting range of 400 km on economy mode at regen level 3 in city,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0
73,"How's back seat of harrier ev as its not recliner, is any one faced issue while long drive?",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Harrier at least ensures passenger safety,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Guys i feel these issues are particular with that car and not common. Those who own a harrier ev. Kindly clarify,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76,Mahindra se jyada problems aa rahi hai harrier main to.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
77,Anyone know how to turn off ac of passanger seat since i am alone driving vehicle..in Tata harrier ev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Planning to buy harrier ev75,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
79,"This should not have happened, my harrier.ev always have hand brakes applied whenever I stop using summon mode",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"Thanks all, actually this is my first car, and on that I chose ev , first harrier ev in jammu , never ever anyone bought such high end car,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Can someone guide me how to Disconnect the Aux battery -Ve terminal in harrier.ev?,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0
82,The dealer played safe... Harrier EV is not there in this advertisement... So he only gave verbal commitment,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
83,"My dealer upfront told me...subsidy chances are less as only first 10k customers will get subsidy and harrier has waiting so by the time you get delivery 10k registration would be done. I booked in July 2nd week. 
If this dealer told you in August then he knew you won't get subsidy. You should complain about him",0.0,0.21428571428571427,0.21428571428571427,0.0,0.0,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.0
84,You will get 3.3 kw portable with all harrier models without installation kit in some cases,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,"Jokes on your mindset. Owning two harrier EVs and the third one on the way, I will sell your registration plate number to earn cheap cash? Speaks volumes of yourself. Anyway, the community won't stop growing, cry more. I sincerely intended to keep only the owners by keeping spammers and scammers away.",0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.0,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142
86,Having 340 kilometres of range left at 53% battery is impressive for such a large vehicle like the Harrier.,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
87,Selling your Harrier EV?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,On call right now with the harrier ev owner who is stranded car not charging,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
89,Has any Harrier EV owner done a highway mileage test at around 80-85kmph and checked the range?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"I am an owner of Harrier.ev quad version, and clocked 1000 kms, completed first service. Just joined this channel after searching for a community. We already have a harrier.ev whatsapp channel of 3 other owners (accepting only owners) [ https://chat.whatsapp.com/G2n3LJqYv3S3mgNbuIvIlQ?mode=ems_copy_t ]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91,https://www.financialexpress.com/auto/car-news/technology-causes-death-tata-harrier-ev-summon-mode-failure-kills-man-in-tamil-nadu/3953300/?utm_medium=Echobox&utm_source=Facebook&fbclid=IwZXh0bgNhZW0CMTEAAR40j6OsUxay1Jlt1-gWMW3xdk7DUucISeBSe6idU2qEunyFsD1Fr6uIeZQlzQ_aem_Owjdhsv2ypoXUwebQufsNg#Echobox=1755774072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,"https://chat.whatsapp.com/IWdT4qaD79ZLMdulyG0FH4?mode=ac_t

Harrier.EV all India Whatsapp group is now live! Owners need to verify with their registration plate number or chasis number.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,"👍 Let’s make this Harrier EV flood-proofed for real-world Indian monsoons and occasional water crossings. Since it’s an EV, the strategy is different from ICE SUVs: instead of adding snorkels, the focus is on water sealing, electronics, and driveline protection.


---

🔧 Harrier EV – Mods & Precautions for Max Wading Safety

1. Battery & High Voltage System

IP67 pack is already sealed, but the weak points are connectors, service plugs, and underbody covers.

Add:

Rubberized underbody coating for the battery tray.

Silicone sealing / dielectric grease on exposed HV connectors (orange cables, inverter, motor connections).

Protective skid plate (stainless or aluminum) with drain holes → shields from debris and pressure waves.




---

2. Motors & Differentials

Harrier EV AWD uses dual motors (front + rear). Motors and gear reduction housings usually have breathers like diffs.

Extend breathers with tubing routed to the top of the firewall or A-pillar.

Use hydrophobic filters (Sintra / Donaldson type) at tube ends to prevent water/dust entry.



---

3. Low-Voltage Electronics

ECUs, relays, DC-DC converter, on-board charger are often mounted low.

Add:

Splash guards / shields for wheel wells and underside.

Marine-grade heat shrink + dielectric grease on all low-voltage connectors accessible underbody.

Secondary sealing for the cabin air intake and blower motor (common ingress point in floods).




---

4. Cooling & HVAC

EVs use liquid cooling for battery/motors, with radiators/fans upfront.

Risk: fans throwing water into electronics.

Mod: Install a manual fan cut-off switch or fuse pull method for deep crossings (dealership-dependent, as it voids warranty if hacked).

Relocate or shield coolant reservoir breathers upward.



---

5. Cabin & Body

Renew door/boot rubber seals (Harrier EV is still based on ICE Harrier body shell, not Defender-level sealing).

Apply automotive weatherproofing grease to door seals → prevents leaks.

Add floor pan plugs that can be removed post-fording to drain water quickly.

Use hydrophobic cabin filters to protect blower from splashes.



---

6. Recovery & Tyres

Fit rated recovery points front + rear (factory EV recovery points may not be strong).

Use synthetic rope winch (sealed motor) → steel cable corrodes faster in floods.

All-terrain tyres with aggressive tread help in soft riverbeds.

Maintain tyre pressure slightly lower (~28–30 psi) for better flotation in muddy streams.



---

7. Driver SOP (as important as mods!)

Always engage AWD mode + Terrain Response (if provided).

Enter slowly (2–5 km/h), build a gentle bow wave.

Never stop midstream → water pressure can enter seals.

After exiting:

Run brakes lightly to dry pads.

Check underbody for trapped debris.

Inspect diff/gear oils if repeatedly crossing >500 mm.




---

🏆 Harrier EV After Mods – Wading Ranking

Stock: 600 mm (best EV in India).

With above mods: Safe, reliable use up to 650–700 mm (beyond this, electronics risk grows).

For comparison:

Force Gurkha (diesel + snorkel): 700 mm.

Fortuner/Hilux (diesel + snorkel + breathers): 800 mm.

Defender OCTA (factory engineered): 1000 mm.



So: the Harrier EV can be pushed close to Fortuner-level wading with mods, but not to Defender extremes. Its strength is sealed battery IP67 + AWD traction, weakness is electronics placement and cooling fans",0.08888888888888889,0.07777777777777778,0.044444444444444446,0.15555555555555556,0.044444444444444446,0.24444444444444444,0.25555555555555554,0.044444444444444446,0.03333333333333333,0.011111111111111112
94,Do we have remotely window close function in tata harrier ev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Can anyone suggest for good car mats for harrier ev in delhi NCR,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
96,"While.using autopark feature please take care of these factors mentioned above for the harrier ev and keep children dogs and old people / women far away from the vehicle from all sides while operating, make sure the slope is less than 15 digrees incline / decline while operating",0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
97,From Harrier manual,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,"Better to share real experiences rather than fabricated influencer videos, if anyone has harrier ev delivered and can post their exp in terms of how many kms driven with in city etc entire break up",0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285
99,Any actual  review by user of our group who got the vehicle  harrier ev for  range and any glitches..I met one guy who come to charge his harrier ev qwd said he got only 280 km range..he came to nagpur from jabalpur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100,"@Mebz4

Your messages are raising the conflict of interest in the group because of refereeing to other brand cars

This is focused group for Harrier.EV not even Nexon or any other cars",0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0
101,Reading your message I definitely feel you are potential person to help for sure if you channelize in helping Harrier.EV issues,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102,"As additional information for you 


There are few members spoke good about you saying you are knowledgeable in EV at the same time they have mentioned you not aligned to to help rather you are criticising Harrier.EV",0.0,0.0,0.25,0.125,0.125,0.25,0.125,0.0,0.0,0.125
103,"Good, 

Group members expect real raw video to be sent which are helpful 

If any issues found you have to be in a position to help not to criticise Harrier.EV and showing some other cars are better

Be helpful for Tata Harrier.EV if any issues found how to fix it than criticising

That’s how you can align with group",0.0,0.0,0.08695652173913043,0.30434782608695654,0.08695652173913043,0.30434782608695654,0.0,0.0,0.0,0.21739130434782608
104,"There are requests coming to remove such members from this group

We expect to align with Group interest

If someone doesn’t like Harrier.EV you can exit from this group

If we we notice anyone continuing as such you will be removed from this group",0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.0,0.0
105,"Who ever it is Stop spreading misinformation, as per the image and message it’s not EV, it’s ICE Harrier image, we can’t insist such misinformations without raw video",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,"It has to be activated by tata. I got email to activate ira.ev for my harrier ev yesterday. Hopefully, I will get access today",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,But Harrier is also good if you want a safe solid car to make sure you go over bad roads and no roads and flooded roads,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285
108,Harrier was desighned with fuel driven drive train and aerodynamics of a offroading heavy duty vehicle powered by fuel and it's efficiency,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
109,Why there is so much diff between range of xe9 and harrier ev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Can any one guide me how digi access works in harrier ev,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
111,Harrier.ev Stealth in trouble?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,"This are common car accessories and I checked few are compatible for Harrier, I felt it was group relevant, just in case case if he spams too many time (more than once a week) you can consider banning him, 

that’s my view",0.2,0.0,0.1,0.1,0.0,0.2,0.2,0.2,0.0,0.0
113,"The risk is lower but yes the risk still exists, harrier also has mind bending 600 mm water wading so that also helps",0.25,0.0,0.25,0.0,0.0,0.0,0.375,0.125,0.0,0.0
114,So acko will be good for harrier ev?,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
115,Since harrier EVs engine area unlike other EVs has a storage space and is sealed it's safe,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
116,So for harrier ev it is similar like other ICE car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Wash the whole body no problem just don't wash the engine area (not applicable for harrier ev) or the underbody of the car where the dc cables go into the battery pack,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0
118,Even RWD is having more power than ice engine of safari/harrier then I don't think there are any need of more power for go to hilly area also,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,"Enjoy this list of 

**Spatial Audio with Dolby Atmos in Apple Music **by connecting to CarPlay in harrier.ev",0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857
120,Join this group if you’re planning to buy the Harrier EV and no longer like the vibe here.,0.0,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0
121,Are bhai uske pas recharge krne tak ke paise nhi . U think this guy will get harrier ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,"Please tell me the name of the perfect car (which you endorse) and which has got no issues at all......

Incase you are unable to give the name of that car.... Then please stop discouraging people from buying Tata cars.... Yes I know and we all know that we may have to have some issue in Harrier, for which I am totally ready, not thats the case with any car..... Mahindra twins are more than 7 months old but still there are issues in their new production lots, but still people are buying it....  

If these issues makes a person so worried, then please don't buy a car in India and travel in Uber/Ola....",0.10526315789473684,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.0,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.05263157894736842,0.05263157894736842
123,I understand all of you have already made up your mind about the harrier so have i ....i just want you guys to know the reality that you could or could not face that's all ....as we spoke there was a live session of a dec 2022 model nexon which shares the same components that are used in the harrier that cause and have been known to cause issues in all their products yet they have used the same components am just brining this to light that's all,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
