message,cleaned_message,language,translated_message,sentiment
I want tata safari pictures,i want tata safari pictures,ca,I want tata safari pictures,Neutral
"Wanted opinion from members about Dash cam. 
Safari should provide company fitted dashcam, like some car companies.",wanted opinion from members about dash cam safari should provide company fitted dashcam like some car companies,en,"Wanted opinion from members about Dash cam. 
Safari should provide company fitted dashcam, like some car companies.",Neutral
I own a Tata Safari 2024,i own a tata safari ,sw,I own a Tata Safari 2024,Positive
"https://youtu.be/muue5tsL-Fw?si=IH-COUsZXopFjnzM

New Tata Safari 2024", new tata safari ,sw,"https://youtu.be/muue5tsL-Fw?si=IH-COUsZXopFjnzM

New Tata Safari 2024",Positive
Go for Safari city mileage is 11kmpl and highway 17-18kmpl,go for safari city mileage is kmpl and highway kmpl,en,Go for Safari city mileage is 11kmpl and highway 17-18kmpl,Neutral
Is anyone aware about clutch oil pipe issue in Safari?,is anyone aware about clutch oil pipe issue in safari,en,Is anyone aware about clutch oil pipe issue in Safari?,Positive
Does anyone have Safari Accomplished Owners Manual soft copy?,does anyone have safari accomplished owners manual soft copy,en,Does anyone have Safari Accomplished Owners Manual soft copy?,Positive
What is the ideal tyre pressure to be maintained in the Safari?,what is the ideal tyre pressure to be maintained in the safari,en,What is the ideal tyre pressure to be maintained in the Safari?,Positive
Follow the Tata Safari Driving Experience channel on WhatsApp: https://whatsapp.com/channel/0029VaALdgg23n3ja2Nv171R,follow the tata safari driving experience channel on whatsapp ,en,Follow the Tata Safari Driving Experience channel on WhatsApp: https://whatsapp.com/channel/0029VaALdgg23n3ja2Nv171R,Neutral
"Hi everyone,
I want to purchase second hand Tata Safari 2021/22 model
Variant: minimum XT

Manual/Automatic - not decided

Can anyone tell me mileage of Manual & Automatic on highway & city ???
Is there any problem with manual transmission in foot well area or deep clutch or Hard clutch??",hi everyone i want to purchase second hand tata safari model variant minimum xt manualautomatic not decided can anyone tell me mileage of manual automatic on highway city is there any problem with manual transmission in foot well area or deep clutch or hard clutch,en,"Hi everyone,
I want to purchase second hand Tata Safari 2021/22 model
Variant: minimum XT

Manual/Automatic - not decided

Can anyone tell me mileage of Manual & Automatic on highway & city ???
Is there any problem with manual transmission in foot well area or deep clutch or Hard clutch??",Neutral
"https://youtu.be/-JA0kR1nWRg

Tata Safari / Harrier Fans in and around Bangalore. I am suggesting you unexplored place for your Highway and Country side drives..", tata safari harrier fans in and around bangalore i am suggesting you unexplored place for your highway and country side drives,en,"https://youtu.be/-JA0kR1nWRg

Tata Safari / Harrier Fans in and around Bangalore. I am suggesting you unexplored place for your Highway and Country side drives..",Neutral
customized weather shields for our safari’s price on request. Pan India Delivery available,customized weather shields for our safaris price on request pan india delivery available,en,customized weather shields for our safari’s price on request. Pan India Delivery available,Positive
"I have Tata Safari XZ+ 2022 model Manual transmission day before yesterday when I am driving there is Somke came from the bonnet in 50 km of driving, so I stopped called the near by service center.. they took my car by Gain and check yesterday and told that it's from clutch pad due to friction no need to worry about it. Is this any one face the same kind of problem what is the solution for this?",i have tata safari xz model manual transmission day before yesterday when i am driving there is somke came from the bonnet in km of driving so i stopped called the near by service center they took my car by gain and check yesterday and told that its from clutch pad due to friction no need to worry about it is this any one face the same kind of problem what is the solution for this,en,"I have Tata Safari XZ+ 2022 model Manual transmission day before yesterday when I am driving there is Somke came from the bonnet in 50 km of driving, so I stopped called the near by service center.. they took my car by Gain and check yesterday and told that it's from clutch pad due to friction no need to worry about it. Is this any one face the same kind of problem what is the solution for this?",Neutral
"For Bangalore 

Nimesh This side from Kantar its Market Research Company.
We are conducting research on SUV Car Features.

For that we are looking for below cars


Mahindra XUV7OO
Kia Carens
Hyundai Alcazar
Tata Safari new
MG Hector Plus

Who bought after April 2022

Maruti Ertiga
Maruti XL6

Date - 27 And 28

Iris - The Business Hotel and Spa
70, Brigade Rd, Ashok Nagar, 
Bengaluru, Karnataka 560025

Nimesh Mewada
9821359010",for bangalore nimesh this side from kantar its market research company we are conducting research on suv car features for that we are looking for below cars mahindra xuvoo kia carens hyundai alcazar tata safari new mg hector plus who bought after april maruti ertiga maruti xl date and iris the business hotel and spa brigade rd ashok nagar bengaluru karnataka nimesh mewada ,en,"For Bangalore 

Nimesh This side from Kantar its Market Research Company.
We are conducting research on SUV Car Features.

For that we are looking for below cars


Mahindra XUV7OO
Kia Carens
Hyundai Alcazar
Tata Safari new
MG Hector Plus

Who bought after April 2022

Maruti Ertiga
Maruti XL6

Date - 27 And 28

Iris - The Business Hotel and Spa
70, Brigade Rd, Ashok Nagar, 
Bengaluru, Karnataka 560025

Nimesh Mewada
9821359010",Positive
Good. I will get my new safari next week delivered. Thought of joining this club early. Hope my membership is accepted.,good i will get my new safari next week delivered thought of joining this club early hope my membership is accepted,en,Good. I will get my new safari next week delivered. Thought of joining this club early. Hope my membership is accepted.,Positive
"Hi, I am pavan from Bangalore, recently bought, TATA Safari Adventure persona 2022",hi i am pavan from bangalore recently bought tata safari adventure persona ,en,"Hi, I am pavan from Bangalore, recently bought, TATA Safari Adventure persona 2022",Neutral
"Hi Mayur here from Pune 
Owns Tata SAFARI XZA",hi mayur here from pune owns tata safari xza,en,"Hi Mayur here from Pune 
Owns Tata SAFARI XZA",Neutral
"Yes, this group is only about Harrier EV",yes this group is only about harrier ev,en,"Yes, this group is only about Harrier EV",Neutral
Shall i go harrier ev or safari please suggestion,shall i go harrier ev or safari please suggestion,da,Shall i go harrier ev or safari please suggestion,Neutral
But interesting part is they dont have any accessory for harrier ev yet,but interesting part is they dont have any accessory for harrier ev yet,en,But interesting part is they dont have any accessory for harrier ev yet,Positive
Harrier ev looks really value for money... compared to this ev,harrier ev looks really value for money compared to this ev,en,Harrier ev looks really value for money... compared to this ev,Positive
"Hi i m planning to buy harrier ev in mumbai 75 kw empowered rwd 
How is the car and service",hi i m planning to buy harrier ev in mumbai kw empowered rwd how is the car and service,en,"Hi i m planning to buy harrier ev in mumbai 75 kw empowered rwd 
How is the car and service",Neutral
Harrier.ev Charging Curve.,harrierev charging curve,en,Harrier.ev Charging Curve.,Neutral
"All RWD owners - Is the harrier providing same level of thrill and punch that QWD provide? Showroom guys are providing test drive on their QWD harrier. Just wanted to be sure except for offroading, the performance and acceleration is almost same for RWD as well!",all rwd owners is the harrier providing same level of thrill and punch that qwd provide showroom guys are providing test drive on their qwd harrier just wanted to be sure except for offroading the performance and acceleration is almost same for rwd as well,en,"All RWD owners - Is the harrier providing same level of thrill and punch that QWD provide? Showroom guys are providing test drive on their QWD harrier. Just wanted to be sure except for offroading, the performance and acceleration is almost same for RWD as well!",Positive
"Harrier.ev Stealth Edition, QWD 75",harrierev stealth edition qwd ,en,"Harrier.ev Stealth Edition, QWD 75",Neutral
did anyone used the inbuilt mapple app for navigation for long drive? Does it provide the available charging station based on Harrier current battery status?,did anyone used the inbuilt mapple app for navigation for long drive does it provide the available charging station based on harrier current battery status,en,did anyone used the inbuilt mapple app for navigation for long drive? Does it provide the available charging station based on Harrier current battery status?,Positive
Any Harrier ev owner facing any new issue or most of the issues are now resolved??,any harrier ev owner facing any new issue or most of the issues are now resolved,en,Any Harrier ev owner facing any new issue or most of the issues are now resolved??,Positive
"Is there any charge for taking Road side assistance service - for lifetime(15yrs) for Rs. 3000/-  after buying harrier EV. Free for breakdowns/towing & 35% off on parts ?

Got a call claiming from official TATA RSA.

Seems to be scam!

Any owner has received such calls ?

What’s included in RSA ?",is there any charge for taking road side assistance service for lifetimeyrs for rs after buying harrier ev free for breakdownstowing off on parts got a call claiming from official tata rsa seems to be scam any owner has received such calls whats included in rsa ,en,"Is there any charge for taking Road side assistance service - for lifetime(15yrs) for Rs. 3000/-  after buying harrier EV. Free for breakdowns/towing & 35% off on parts ?

Got a call claiming from official TATA RSA.

Seems to be scam!

Any owner has received such calls ?

What’s included in RSA ?",Positive
What are some essential accessories to buy for Harrier?,what are some essential accessories to buy for harrier,en,What are some essential accessories to buy for Harrier?,Neutral
Is anyone charging their harrier only with 3.3 kwh portable charger and is able to manage everyday charging without hassle? Or 7.2 kwh charger is a must?,is anyone charging their harrier only with kwh portable charger and is able to manage everyday charging without hassle or kwh charger is a must,en,Is anyone charging their harrier only with 3.3 kwh portable charger and is able to manage everyday charging without hassle? Or 7.2 kwh charger is a must?,Neutral
Did anyone face lower back pain during long drive in harrier EV?,did anyone face lower back pain during long drive in harrier ev,en,Did anyone face lower back pain during long drive in harrier EV?,Neutral
did anyone get the seat cover for Harrier EV in Hyderabad. It seems tata genuine accessories doesn’t have it yet and off market is also not available. Anyone has any leads?,did anyone get the seat cover for harrier ev in hyderabad it seems tata genuine accessories doesnt have it yet and off market is also not available anyone has any leads,en,did anyone get the seat cover for Harrier EV in Hyderabad. It seems tata genuine accessories doesn’t have it yet and off market is also not available. Anyone has any leads?,Neutral
Hii fellow community members... please guide me on harrier ev...I am thinking to book fearless 75..but hearing a lot of negative reviews..can you guys please guide...,hii fellow community members please guide me on harrier evi am thinking to book fearless but hearing a lot of negative reviewscan you guys please guide,en,Hii fellow community members... please guide me on harrier ev...I am thinking to book fearless 75..but hearing a lot of negative reviews..can you guys please guide...,Negative
Test drive vehicle harrier ev.,test drive vehicle harrier ev,da,Test drive vehicle harrier ev.,Neutral
Is it possible to add under thigh support from aftermarket? Will this solve underthigh support issue in harrier ev ? Any leads please,is it possible to add under thigh support from aftermarket will this solve underthigh support issue in harrier ev any leads please,en,Is it possible to add under thigh support from aftermarket? Will this solve underthigh support issue in harrier ev ? Any leads please,Neutral
"I have completed 1000 kms in my Harrier EV Fearless + 75.
Till now, no problems faced🧿 🧿",i have completed kms in my harrier ev fearless till now no problems faced ,en,"I have completed 1000 kms in my Harrier EV Fearless + 75.
Till now, no problems faced🧿 🧿",Neutral
"Hi All, I am thinking to buy Harrier ev fearless plus. BUT
I am seeing many bad ownership experiences/reviews(issues on key, brake, Adas) about Harrier ev.
We are giving 25L-30L for this car but not getting confidence to invest on such not reliable product.(in general reliability of Tata cars)
Some people tells that they have not faced any issues with their Tata cars(lucky ones) but there are many other bad experiences with their purchases. (Its 50-50%)

Please help me with the decision to buy Harrier ev or not.

Thank you",hi all i am thinking to buy harrier ev fearless plus but i am seeing many bad ownership experiencesreviewsissues on key brake adas about harrier ev we are giving ll for this car but not getting confidence to invest on such not reliable productin general reliability of tata cars some people tells that they have not faced any issues with their tata carslucky ones but there are many other bad experiences with their purchases its please help me with the decision to buy harrier ev or not thank you,en,"Hi All, I am thinking to buy Harrier ev fearless plus. BUT
I am seeing many bad ownership experiences/reviews(issues on key, brake, Adas) about Harrier ev.
We are giving 25L-30L for this car but not getting confidence to invest on such not reliable product.(in general reliability of Tata cars)
Some people tells that they have not faced any issues with their Tata cars(lucky ones) but there are many other bad experiences with their purchases. (Its 50-50%)

Please help me with the decision to buy Harrier ev or not.

Thank you",Neutral
I’m looking forward to book harrier ev fearless plus 75kwh today. This is my first car and I am 1% confused and thinking about waiting to see more reviews. Can any owners share their experience yet. It would be much helpful. Thank you,im looking forward to book harrier ev fearless plus kwh today this is my first car and i am confused and thinking about waiting to see more reviews can any owners share their experience yet it would be much helpful thank you,en,I’m looking forward to book harrier ev fearless plus 75kwh today. This is my first car and I am 1% confused and thinking about waiting to see more reviews. Can any owners share their experience yet. It would be much helpful. Thank you,Positive
Anyone facing headache while sitting in harrier ev as co passenger? I am receiving complaints from my family during a one hour test drive,anyone facing headache while sitting in harrier ev as co passenger i am receiving complaints from my family during a one hour test drive,en,Anyone facing headache while sitting in harrier ev as co passenger? I am receiving complaints from my family during a one hour test drive,Neutral
Not very encouraging for somebody waiting for new harrier,not very encouraging for somebody waiting for new harrier,en,Not very encouraging for somebody waiting for new harrier,Neutral
How is the suspension of harrier ev in rough roads? Is it bouncy like Mahindra be6?,how is the suspension of harrier ev in rough roads is it bouncy like mahindra be,en,How is the suspension of harrier ev in rough roads? Is it bouncy like Mahindra be6?,Neutral
South Indian harrier will be glitch free.,south indian harrier will be glitch free,en,South Indian harrier will be glitch free.,Positive
Let all take harrier and finish 1st batch with problem,let all take harrier and finish st batch with problem,en,Let all take harrier and finish 1st batch with problem,Neutral
Lucky to busy 2nd batch harrier.,lucky to busy nd batch harrier,en,Lucky to busy 2nd batch harrier.,Positive
"Just a qq, any abnormal sound with the window glass one touch(driver side) and at the rear behind driver? I experienced a screeching  noise when I checked my vehicle during the initial checks. When asked, they said they got the same noise in the test drive vehicle too. Anyone else who has harrier ev experienced this issue. I have asked the showroom folks to get it cleared before the delivery",just a qq any abnormal sound with the window glass one touchdriver side and at the rear behind driver i experienced a screeching noise when i checked my vehicle during the initial checks when asked they said they got the same noise in the test drive vehicle too anyone else who has harrier ev experienced this issue i have asked the showroom folks to get it cleared before the delivery,en,"Just a qq, any abnormal sound with the window glass one touch(driver side) and at the rear behind driver? I experienced a screeching  noise when I checked my vehicle during the initial checks. When asked, they said they got the same noise in the test drive vehicle too. Anyone else who has harrier ev experienced this issue. I have asked the showroom folks to get it cleared before the delivery",Positive
"I got a call from tata motors today, informing that an update is avbl, so they have to keep my harrier ev with them for 4 hrs..
Is it ok?",i got a call from tata motors today informing that an update is avbl so they have to keep my harrier ev with them for hrs is it ok,en,"I got a call from tata motors today, informing that an update is avbl, so they have to keep my harrier ev with them for 4 hrs..
Is it ok?",Positive
Hi what is range for 65 kw harrier ev battery. Could not find any yt video on this,hi what is range for kw harrier ev battery could not find any yt video on this,en,Hi what is range for 65 kw harrier ev battery. Could not find any yt video on this,Neutral
Unbelievable— is that harrier? Ac on?,unbelievable is that harrier ac on,en,Unbelievable— is that harrier? Ac on?,Neutral
"Why did you book Harrier over XEV in that case? 
Curious to know 🧐",why did you book harrier over xev in that case curious to know ,en,"Why did you book Harrier over XEV in that case? 
Curious to know 🧐",Neutral
"Dear users, i have booked harrier ev fearless 75 version. I am concerned about Tata service and range in comparison with another choice of mahindra XEV 79 pack2. 
Any suggestions",dear users i have booked harrier ev fearless version i am concerned about tata service and range in comparison with another choice of mahindra xev pack any suggestions,en,"Dear users, i have booked harrier ev fearless 75 version. I am concerned about Tata service and range in comparison with another choice of mahindra XEV 79 pack2. 
Any suggestions",Neutral
White colour harrier looks good too;,white colour harrier looks good too,en,White colour harrier looks good too;,Positive
Unfortunately my family doesn’t like blue colour that much ; instead of they were impressed by white colour and look of safari — which was ready for delivery 🤦,unfortunately my family doesnt like blue colour that much instead of they were impressed by white colour and look of safari which was ready for delivery ,en,Unfortunately my family doesn’t like blue colour that much ; instead of they were impressed by white colour and look of safari — which was ready for delivery 🤦,Positive
"Today I tried harrier.ev — breaking byte quite high and very sensitive— get jerk if press a bit too.

Also, acceleration in eco n sport does throws in higher speed— it increases gradually — might be good n safety — not tried boost mode — will tried later.",today i tried harrierev breaking byte quite high and very sensitive get jerk if press a bit too also acceleration in eco n sport does throws in higher speed it increases gradually might be good n safety not tried boost mode will tried later,en,"Today I tried harrier.ev — breaking byte quite high and very sensitive— get jerk if press a bit too.

Also, acceleration in eco n sport does throws in higher speed— it increases gradually — might be good n safety — not tried boost mode — will tried later.",Positive
small meme on Harrier Petrol 😂,small meme on harrier petrol ,en,small meme on Harrier Petrol 😂,Negative
"Itna waiting karna hai Harrier EV ka…🙁 Ab to like tu aaye to kya, na aaye to kya 🙁",itna waiting karna hai harrier ev ka ab to like tu aaye to kya na aaye to kya ,sw,"Itna waiting karna hai Harrier EV ka…🙁 Ab to like tu aaye to kya, na aaye to kya 🙁",Neutral
"Anybody booked Harrier S ACFC model , White Color at Pune ? 

I got a call yesterday that car is available. Someone cancelled his booking..",anybody booked harrier s acfc model white color at pune i got a call yesterday that car is available someone cancelled his booking,en,"Anybody booked Harrier S ACFC model , White Color at Pune ? 

I got a call yesterday that car is available. Someone cancelled his booking..",Positive
"If I’m not mistaken, Harrier has liquid, isn’t it?",if im not mistaken harrier has liquid isnt it,en,"If I’m not mistaken, Harrier has liquid, isn’t it?",Neutral
"Hi, today I test-drove the Tata Harrier EV at Venkataramana Motors Hyderabad. I am planning to book the Fearless 75 variant. Could you please tell me the real-world range before I confirm the booking?",hi today i testdrove the tata harrier ev at venkataramana motors hyderabad i am planning to book the fearless variant could you please tell me the realworld range before i confirm the booking,en,"Hi, today I test-drove the Tata Harrier EV at Venkataramana Motors Hyderabad. I am planning to book the Fearless 75 variant. Could you please tell me the real-world range before I confirm the booking?",Neutral
"I need help with buying insurance. I have booked the **Tata Harrier EV Empowered 75 Stealth ACFC**.

The showroom from which I booked the car has given me the following insurance details:
 • **Basic Comprehensive (3+1)** = ₹1,02,500
 • **Insurance with Higher Add-ons** (Nil Depreciation + Consumables + RTI + RSA + Key Loss + Battery Protection + Tyre Protection) = ₹27,063

**Total Cost = ₹1,29,563**

Should I buy insurance from the showroom, or is it better to buy from outside? Also, what parameters should I check before finalizing the insurance?",i need help with buying insurance i have booked the tata harrier ev empowered stealth acfc the showroom from which i booked the car has given me the following insurance details basic comprehensive insurance with higher addons nil depreciation consumables rti rsa key loss battery protection tyre protection total cost should i buy insurance from the showroom or is it better to buy from outside also what parameters should i check before finalizing the insurance,en,"I need help with buying insurance. I have booked the **Tata Harrier EV Empowered 75 Stealth ACFC**.

The showroom from which I booked the car has given me the following insurance details:
 • **Basic Comprehensive (3+1)** = ₹1,02,500
 • **Insurance with Higher Add-ons** (Nil Depreciation + Consumables + RTI + RSA + Key Loss + Battery Protection + Tyre Protection) = ₹27,063

**Total Cost = ₹1,29,563**

Should I buy insurance from the showroom, or is it better to buy from outside? Also, what parameters should I check before finalizing the insurance?",Positive
"my take after test driving Harrier.ev, Clavis.ev and Creta.ev",my take after test driving harrierev clavisev and cretaev,da,"my take after test driving Harrier.ev, Clavis.ev and Creta.ev",Neutral
"If you talk about Harrier EV and Hyderabad, we all woulf like to know when did you get your delivery? 
Which dealership and what variant",if you talk about harrier ev and hyderabad we all woulf like to know when did you get your delivery which dealership and what variant,en,"If you talk about Harrier EV and Hyderabad, we all woulf like to know when did you get your delivery? 
Which dealership and what variant",Neutral
"Hi, did anyone installed seat cover for harrier EV. Any suggestion for a shop in Hyderabad.",hi did anyone installed seat cover for harrier ev any suggestion for a shop in hyderabad,en,"Hi, did anyone installed seat cover for harrier EV. Any suggestion for a shop in Hyderabad.",Neutral
From last 2 days I am driving harrier ev..but not facing any problem yet..only one miner issue regarding fab key..it was not working..then dealer updated software and it is working absolutely fine... getting range of 400 km on economy mode at regen level 3 in city,from last days i am driving harrier evbut not facing any problem yetonly one miner issue regarding fab keyit was not workingthen dealer updated software and it is working absolutely fine getting range of km on economy mode at regen level in city,en,From last 2 days I am driving harrier ev..but not facing any problem yet..only one miner issue regarding fab key..it was not working..then dealer updated software and it is working absolutely fine... getting range of 400 km on economy mode at regen level 3 in city,Positive
"How's back seat of harrier ev as its not recliner, is any one faced issue while long drive?",hows back seat of harrier ev as its not recliner is any one faced issue while long drive,en,"How's back seat of harrier ev as its not recliner, is any one faced issue while long drive?",Neutral
Harrier at least ensures passenger safety,harrier at least ensures passenger safety,no,Harrier at least ensures passenger safety,Negative
Guys i feel these issues are particular with that car and not common. Those who own a harrier ev. Kindly clarify,guys i feel these issues are particular with that car and not common those who own a harrier ev kindly clarify,en,Guys i feel these issues are particular with that car and not common. Those who own a harrier ev. Kindly clarify,Positive
Mahindra se jyada problems aa rahi hai harrier main to.,mahindra se jyada problems aa rahi hai harrier main to,id,Mahindra se jyada problems aa rahi hai harrier main to.,Positive
Anyone know how to turn off ac of passanger seat since i am alone driving vehicle..in Tata harrier ev,anyone know how to turn off ac of passanger seat since i am alone driving vehiclein tata harrier ev,en,Anyone know how to turn off ac of passanger seat since i am alone driving vehicle..in Tata harrier ev,Neutral
Planning to buy harrier ev75,planning to buy harrier ev,en,Planning to buy harrier ev75,Neutral
"This should not have happened, my harrier.ev always have hand brakes applied whenever I stop using summon mode",this should not have happened my harrierev always have hand brakes applied whenever i stop using summon mode,en,"This should not have happened, my harrier.ev always have hand brakes applied whenever I stop using summon mode",Neutral
"Thanks all, actually this is my first car, and on that I chose ev , first harrier ev in jammu , never ever anyone bought such high end car,",thanks all actually this is my first car and on that i chose ev first harrier ev in jammu never ever anyone bought such high end car,en,"Thanks all, actually this is my first car, and on that I chose ev , first harrier ev in jammu , never ever anyone bought such high end car,",Positive
Can someone guide me how to Disconnect the Aux battery -Ve terminal in harrier.ev?,can someone guide me how to disconnect the aux battery ve terminal in harrierev,en,Can someone guide me how to Disconnect the Aux battery -Ve terminal in harrier.ev?,Neutral
The dealer played safe... Harrier EV is not there in this advertisement... So he only gave verbal commitment,the dealer played safe harrier ev is not there in this advertisement so he only gave verbal commitment,en,The dealer played safe... Harrier EV is not there in this advertisement... So he only gave verbal commitment,Positive
"My dealer upfront told me...subsidy chances are less as only first 10k customers will get subsidy and harrier has waiting so by the time you get delivery 10k registration would be done. I booked in July 2nd week. 
If this dealer told you in August then he knew you won't get subsidy. You should complain about him",my dealer upfront told mesubsidy chances are less as only first k customers will get subsidy and harrier has waiting so by the time you get delivery k registration would be done i booked in july nd week if this dealer told you in august then he knew you wont get subsidy you should complain about him,en,"My dealer upfront told me...subsidy chances are less as only first 10k customers will get subsidy and harrier has waiting so by the time you get delivery 10k registration would be done. I booked in July 2nd week. 
If this dealer told you in August then he knew you won't get subsidy. You should complain about him",Neutral
You will get 3.3 kw portable with all harrier models without installation kit in some cases,you will get kw portable with all harrier models without installation kit in some cases,en,You will get 3.3 kw portable with all harrier models without installation kit in some cases,Neutral
"Jokes on your mindset. Owning two harrier EVs and the third one on the way, I will sell your registration plate number to earn cheap cash? Speaks volumes of yourself. Anyway, the community won't stop growing, cry more. I sincerely intended to keep only the owners by keeping spammers and scammers away.",jokes on your mindset owning two harrier evs and the third one on the way i will sell your registration plate number to earn cheap cash speaks volumes of yourself anyway the community wont stop growing cry more i sincerely intended to keep only the owners by keeping spammers and scammers away,en,"Jokes on your mindset. Owning two harrier EVs and the third one on the way, I will sell your registration plate number to earn cheap cash? Speaks volumes of yourself. Anyway, the community won't stop growing, cry more. I sincerely intended to keep only the owners by keeping spammers and scammers away.",Positive
Having 340 kilometres of range left at 53% battery is impressive for such a large vehicle like the Harrier.,having kilometres of range left at battery is impressive for such a large vehicle like the harrier,en,Having 340 kilometres of range left at 53% battery is impressive for such a large vehicle like the Harrier.,Positive
Selling your Harrier EV?,selling your harrier ev,de,Selling your Harrier EV?,Neutral
On call right now with the harrier ev owner who is stranded car not charging,on call right now with the harrier ev owner who is stranded car not charging,en,On call right now with the harrier ev owner who is stranded car not charging,Positive
Has any Harrier EV owner done a highway mileage test at around 80-85kmph and checked the range?,has any harrier ev owner done a highway mileage test at around kmph and checked the range,en,Has any Harrier EV owner done a highway mileage test at around 80-85kmph and checked the range?,Neutral
"I am an owner of Harrier.ev quad version, and clocked 1000 kms, completed first service. Just joined this channel after searching for a community. We already have a harrier.ev whatsapp channel of 3 other owners (accepting only owners) [ https://chat.whatsapp.com/G2n3LJqYv3S3mgNbuIvIlQ?mode=ems_copy_t ]",i am an owner of harrierev quad version and clocked kms completed first service just joined this channel after searching for a community we already have a harrierev whatsapp channel of other owners accepting only owners ,en,"I am an owner of Harrier.ev quad version, and clocked 1000 kms, completed first service. Just joined this channel after searching for a community. We already have a harrier.ev whatsapp channel of 3 other owners (accepting only owners) [ https://chat.whatsapp.com/G2n3LJqYv3S3mgNbuIvIlQ?mode=ems_copy_t ]",Neutral
https://www.financialexpress.com/auto/car-news/technology-causes-death-tata-harrier-ev-summon-mode-failure-kills-man-in-tamil-nadu/3953300/?utm_medium=Echobox&utm_source=Facebook&fbclid=IwZXh0bgNhZW0CMTEAAR40j6OsUxay1Jlt1-gWMW3xdk7DUucISeBSe6idU2qEunyFsD1Fr6uIeZQlzQ_aem_Owjdhsv2ypoXUwebQufsNg#Echobox=1755774072,,unknown,https://www.financialexpress.com/auto/car-news/technology-causes-death-tata-harrier-ev-summon-mode-failure-kills-man-in-tamil-nadu/3953300/?utm_medium=Echobox&utm_source=Facebook&fbclid=IwZXh0bgNhZW0CMTEAAR40j6OsUxay1Jlt1-gWMW3xdk7DUucISeBSe6idU2qEunyFsD1Fr6uIeZQlzQ_aem_Owjdhsv2ypoXUwebQufsNg#Echobox=1755774072,Neutral
"https://chat.whatsapp.com/IWdT4qaD79ZLMdulyG0FH4?mode=ac_t

Harrier.EV all India Whatsapp group is now live! Owners need to verify with their registration plate number or chasis number.", harrierev all india whatsapp group is now live owners need to verify with their registration plate number or chasis number,en,"https://chat.whatsapp.com/IWdT4qaD79ZLMdulyG0FH4?mode=ac_t

Harrier.EV all India Whatsapp group is now live! Owners need to verify with their registration plate number or chasis number.",Positive
